Transaction_ID,Date_ID,City_ID,Area_ID,Property_ID,Area_SqFt,Days_on_Market,Listing_Status,Demand_Score,Supply_Score,Risk_Score_Base,Price_per_SqFt,Property_Price,Rental_Income_Monthly
50,1030,4,11,2,4913,61,Sold,65,52,20,18008,7705220,277535
51,848,1,12,1,4562,193,Sold,91,23,6,16627,6977497,396871
52,50,7,22,4,3672,23,Sold,39,83,59,16192,3725022,117768
53,1001,8,7,5,3944,118,Sold,32,97,57,15456,7584158,140556
54,989,5,33,3,4260,119,Sold,39,88,42,15149,7540954,133951
55,183,2,19,5,3436,91,Sold,74,48,12,15557,4268226,177590
56,422,7,33,4,3281,141,Sold,34,93,36,15589,5261926,114093
57,600,2,38,5,3334,95,Sold,73,60,12,18004,5999549,210341
58,476,5,28,4,4906,181,Sold,43,84,39,18018,5481998,169993
59,589,3,28,3,3926,53,Sold,51,88,22,16629,5955895,260938
60,234,3,4,2,3053,57,Active,56,80,18,15058,4483348,160475
61,332,3,34,3,3474,80,Sold,57,73,20,15007,4901440,180114
62,775,5,1,3,3055,14,Active,35,93,49,16376,6665166,109699
63,226,4,10,1,4227,196,Sold,79,51,20,15840,4443744,323763
64,470,7,2,1,4596,89,Sold,42,95,54,17073,5461746,155841
65,86,2,17,4,4793,199,Sold,82,64,15,16403,3869486,272407
66,477,6,32,5,3190,193,Sold,30,92,48,16871,5489648,103056
67,248,3,17,4,3561,60,Sold,54,73,21,15435,4538253,185024
68,933,3,40,2,3975,50,Active,59,82,26,15363,7311881,229583
69,86,5,11,3,3036,77,Sold,44,98,51,16345,3870387,91748
70,912,8,13,4,4121,85,Sold,35,87,37,17181,7229522,126416
71,851,4,33,5,4483,96,Sold,66,57,15,18076,6988748,278569
72,576,2,1,2,4953,197,Active,80,59,16,17433,5900540,311138
73,401,4,7,2,3687,114,Sold,65,53,24,15420,5188568,296945
74,1060,7,36,2,3399,180,Active,38,83,37,16103,7853735,107211
75,289,2,29,2,4934,25,Active,84,59,17,17078,4711521,377625
76,630,1,15,1,4230,149,Active,94,25,6,15691,6112961,408396
77,728,7,10,2,3924,158,Sold,36,86,38,16578,6495049,131164
78,992,4,14,3,4576,169,Active,76,50,15,16193,7551305,311671
79,162,5,14,3,4546,117,Sold,44,85,46,15848,4178217,150573
80,46,1,17,5,4332,27,Sold,92,22,9,16441,3703420,405421
81,476,1,22,2,3088,169,Sold,93,33,6,15491,5482448,311324
82,399,2,10,2,4452,51,Sold,81,57,16,15109,5182268,239165
83,46,6,3,1,3179,153,Sold,40,80,47,15599,3706570,98314
84,874,8,12,1,3924,99,Sold,37,89,46,17638,7075607,138596
85,1067,3,35,4,4403,112,Sold,60,71,21,17810,7879387,240087
86,865,8,15,1,4706,149,Sold,40,97,54,16481,7036003,143439
87,291,5,4,2,3328,138,Sold,43,97,36,15667,4717371,107335
88,184,7,6,4,4792,9,Sold,44,92,44,17299,4270027,166349
89,231,1,29,3,3793,80,Sold,94,24,6,15376,4469396,337767
90,915,6,1,4,3013,15,Sold,41,96,54,15028,7239423,102924
91,266,7,13,4,3023,84,Active,31,84,35,17654,4620612,95255
92,270,2,24,5,4338,83,Active,78,59,17,15582,4637263,284967
93,2,1,25,2,4774,23,Sold,98,29,9,16926,3507650,606823
94,911,2,35,3,4511,164,Active,82,60,16,15458,7223672,309619
95,209,1,8,1,3985,137,Active,98,26,9,16252,4385238,309087
96,561,1,3,2,3124,120,Sold,95,29,11,15618,5834383,386642
97,1007,4,5,5,3598,15,Sold,75,56,22,15129,7610711,191351
98,980,2,40,5,3713,192,Sold,72,49,18,15421,7500450,218761
99,256,3,1,5,4137,34,Sold,56,80,25,17962,4571107,265880
100,577,7,15,5,4275,29,Sold,41,98,52,16412,5901890,132799
101,462,8,37,2,4643,37,Sold,42,97,57,17231,5425292,155448
102,540,3,9,2,3255,76,Active,63,78,22,16512,5746624,198644
103,157,1,39,2,4221,53,Sold,89,27,8,17021,4157965,424622
104,1033,7,9,5,4070,181,Sold,42,85,51,18150,7720522,146349
105,613,5,17,1,4339,52,Sold,42,94,50,17844,6050405,144792
106,429,1,15,5,4339,152,Sold,93,19,11,18371,5291179,333246
107,823,4,3,1,3202,187,Active,70,53,22,16433,6869936,225754
108,520,4,18,5,4755,163,Sold,67,57,19,18038,5664266,275583
109,754,1,15,2,3864,107,Active,94,25,7,15188,6587758,530547
110,144,6,6,4,4555,149,Active,44,86,49,18202,4102160,158705
111,1005,2,38,5,4835,42,Sold,76,55,14,17725,7602160,321879
112,1069,1,17,3,4056,135,Sold,91,26,6,16343,7886138,480403
113,522,6,19,4,3336,149,Active,41,93,52,15858,5676867,108820
114,441,8,11,4,4129,82,Sold,32,85,42,18127,5342934,129931
115,995,3,27,2,3060,7,Sold,50,80,20,17234,7559855,193480
116,177,6,29,1,4072,125,Sold,39,89,49,15892,4239873,128309
117,640,1,28,5,3796,18,Sold,90,25,11,15352,6153915,417902
118,918,3,39,5,3444,83,Sold,64,80,27,17828,7254725,182174
119,145,2,24,1,4075,86,Sold,78,56,16,17884,4108910,293739
120,12,3,16,5,3074,86,Active,50,78,18,17965,3553105,153670
121,809,7,3,4,3644,55,Sold,33,87,51,16117,6810531,121906
122,70,1,30,1,4992,131,Sold,95,18,7,18467,3800630,477684
123,50,1,23,4,4269,192,Active,94,28,9,17108,3724572,533177
124,367,4,31,2,3553,143,Sold,76,56,15,15062,5042754,214500
125,491,1,20,3,4573,61,Sold,96,32,6,17551,5546354,595313
126,437,1,25,5,3939,169,Sold,96,27,9,18361,5325832,507668
127,648,6,31,3,4192,111,Sold,36,82,58,16440,6189018,132643
128,93,2,36,1,4539,137,Active,76,50,18,17954,3895139,287584
129,691,2,16,3,3218,72,Active,83,52,16,17638,6358685,200112
130,847,4,27,4,3370,146,Active,68,53,20,16083,6969396,257862
131,560,7,39,3,3261,44,Sold,42,91,42,15663,5827632,99617
132,959,2,34,2,4054,151,Sold,76,55,15,16722,7412691,300228
133,462,1,36,5,4758,46,Sold,89,29,8,17035,5420342,416777
134,1092,2,15,2,4301,183,Active,79,59,15,18189,7979297,327540
135,1058,5,10,4,3063,178,Sold,44,93,56,15063,7847434,109790
136,332,5,22,5,3307,106,Sold,43,98,59,15272,4903690,113205
137,1093,7,8,3,4976,195,Active,39,81,36,15577,7986048,168756
138,231,5,5,3,4019,177,Sold,39,86,52,15554,4469846,141951
139,608,7,23,1,3551,102,Sold,31,83,36,17811,6027002,127438
140,764,7,37,1,3124,124,Sold,31,80,38,15359,6623312,99037
141,1010,2,27,5,3784,22,Sold,84,46,13,18138,7627812,271958
142,79,6,22,5,3369,164,Sold,41,92,57,16998,3839783,106757
143,428,1,6,1,4163,115,Sold,99,25,9,15639,5288928,528264
144,381,2,36,5,3498,149,Active,80,46,13,15129,5099909,201324
145,1004,1,28,4,3111,24,Sold,89,22,11,15473,7600360,405262
146,521,1,2,4,3375,96,Sold,89,27,9,16950,5670567,398714
147,866,7,27,5,3141,63,Sold,32,91,58,16360,7037353,96737
148,407,7,17,1,3966,120,Sold,32,98,43,15908,5211071,134598
149,185,6,26,5,3954,98,Sold,38,99,43,16482,4276777,133621
150,182,6,13,2,4026,160,Sold,41,96,48,16147,4262826,142142
151,261,8,29,2,3100,71,Active,39,83,35,17277,4594059,99969
152,45,4,2,1,4599,116,Active,65,63,19,15230,3700270,357423
153,812,4,21,5,3078,99,Sold,72,61,18,17222,6819981,258186
154,434,5,9,2,4645,114,Active,44,83,48,17483,5312331,160615
155,275,5,34,1,3389,97,Sold,43,91,49,17369,4657965,103419
156,185,1,30,3,4769,82,Sold,99,19,7,17476,4278577,618635
157,662,6,16,2,3354,98,Sold,33,86,39,17254,6246624,112185
158,122,6,18,4,3847,21,Sold,41,95,47,16091,4018451,115987
159,19,2,32,2,4825,18,Sold,81,60,13,16253,3586858,323713
160,966,3,15,5,3641,83,Sold,61,72,23,17874,7443744,242928
161,248,5,8,3,3130,181,Sold,33,96,43,17794,4540054,99503
162,6,6,28,2,3749,144,Sold,30,90,44,17313,3528802,132415
163,939,1,1,5,4666,182,Active,94,31,11,16848,7333033,378074
164,943,8,32,2,3982,67,Sold,30,96,39,15389,7350585,136192
165,1093,3,10,3,4195,57,Sold,63,76,27,17216,7984248,228987
166,239,8,33,2,4159,114,Sold,41,98,56,15476,4497749,128072
167,103,7,15,2,3742,48,Sold,36,88,45,16591,3932943,127475
168,909,2,13,1,4456,135,Sold,77,64,16,18282,7210621,268426
169,823,3,24,1,4524,102,Sold,63,78,20,16079,6869036,287176
170,92,8,35,1,3284,91,Sold,31,86,43,15419,3891539,104911
171,1020,8,23,1,3700,111,Sold,44,80,42,17731,7661116,112369
172,440,7,39,3,4043,54,Active,40,98,39,15988,5338883,122568
173,1041,7,3,3,3247,199,Sold,34,96,50,17072,7756975,97865
174,495,3,2,3,3277,10,Active,55,84,24,15278,5567506,183627
175,646,7,11,4,3704,175,Sold,37,87,57,16316,6180018,121491
176,105,8,8,3,3268,19,Sold,44,98,36,15323,3942844,105720
177,606,5,19,2,3227,43,Sold,36,84,56,16792,6022952,104471
178,74,1,32,5,4084,15,Active,88,28,6,16786,3815031,401896
179,696,1,36,1,4042,198,Active,92,24,10,16107,6376237,453664
180,296,1,37,4,3841,125,Sold,89,25,9,15810,4749324,397217
181,967,2,19,2,4857,20,Sold,78,64,19,17276,7448694,309513
182,550,7,36,4,4157,138,Sold,39,84,51,15809,5786678,139908
183,343,5,19,3,3248,64,Sold,40,91,40,17500,4952745,114070
184,815,6,18,2,4505,196,Sold,41,94,43,16878,6833033,150936
185,676,8,23,2,4139,95,Sold,33,99,46,15836,6296579,139219
186,917,6,18,5,4123,142,Active,34,84,49,15097,7248874,131285
187,897,5,11,3,3699,63,Active,32,98,35,17170,7169666,124175
188,213,3,2,3,3045,95,Active,50,74,20,15017,4398289,184454
189,546,5,16,1,4370,80,Active,37,89,46,15804,5768226,136029
190,268,7,33,1,4170,163,Sold,30,98,57,17224,4628262,139753
191,304,8,19,2,4963,181,Active,34,82,53,18355,4779477,165208
192,1061,1,34,4,3088,86,Active,97,29,11,15248,7858235,241428
193,457,3,7,5,4064,91,Active,58,86,18,18001,5399189,227246
194,712,1,18,4,4030,55,Sold,97,28,8,18244,6433843,330964
195,822,1,27,2,3265,172,Active,95,31,6,17505,6860936,264800
196,776,6,39,3,3120,47,Active,37,92,59,17622,6671017,109899
197,406,1,15,3,3447,146,Sold,93,33,8,16666,5207020,342718
198,127,4,39,2,3500,12,Sold,79,65,22,15099,4037353,242783
199,435,8,13,3,4716,85,Sold,31,96,45,18154,5313681,164371
200,228,1,33,5,4542,38,Active,97,27,9,16804,4454995,410801
201,895,3,5,3,3380,146,Active,57,75,23,17558,7162016,234988
202,850,6,33,1,3268,48,Sold,40,86,58,16131,6985598,100818
203,777,2,39,4,3263,51,Sold,77,58,19,18164,6673267,169307
204,885,2,1,5,4518,81,Sold,74,48,17,16246,7120612,349366
205,720,4,32,2,3278,40,Sold,68,58,17,16723,6463096,244696
206,988,2,7,5,4653,190,Active,78,52,15,16075,7536003,344210
207,444,3,23,4,3671,27,Sold,50,72,18,17275,5356435,233605
208,104,2,27,3,4640,67,Sold,74,48,12,15150,3938343,270013
209,585,6,21,4,4624,29,Active,34,81,43,15300,5939243,154377
210,910,2,2,1,3201,145,Active,80,53,15,15411,7216921,245240
211,196,7,2,2,4248,127,Sold,40,81,43,17676,4319531,140702
212,609,7,36,4,4607,173,Sold,38,89,58,15315,6031053,138966
213,731,3,25,1,4272,164,Sold,60,76,20,17916,6504950,274215
214,338,8,12,2,4948,71,Sold,30,81,36,17778,4934293,169875
215,130,3,11,1,3616,26,Sold,50,86,24,16187,4048154,180788
216,806,8,22,5,4752,86,Sold,33,95,38,17319,6798829,152511
217,951,7,3,1,4847,56,Sold,41,81,46,17241,7377587,164817
218,497,5,34,3,4878,105,Sold,39,99,48,18090,5573357,151316
219,970,7,13,2,3958,196,Active,31,95,49,15448,7461746,136891
220,860,8,5,4,3416,105,Active,41,83,41,16029,7019801,118262
221,724,3,22,2,3362,142,Active,63,84,18,15338,6477947,173501
222,853,7,31,5,4978,7,Active,30,99,45,15974,7000000,164483
223,137,5,34,2,3620,160,Active,30,92,48,16458,4076057,126823
224,945,2,19,3,3091,62,Active,84,51,13,15427,7356435,232191
225,255,1,29,3,3534,92,Active,91,32,9,16979,4568406,437651
226,891,8,25,3,4654,189,Sold,34,95,40,15096,7144464,141100
227,750,7,26,1,4919,130,Sold,35,85,56,16305,6575607,176897
228,835,4,14,4,3331,26,Active,75,55,15,15684,6927992,207580
229,938,8,27,1,3889,12,Sold,36,96,54,17383,7332133,127637
230,1053,8,22,3,4491,155,Sold,44,93,45,16785,7820432,138305
231,80,7,21,3,3707,24,Active,36,84,54,16442,3845184,126053
232,1013,8,21,5,4431,78,Sold,35,88,39,15361,7636363,146781
233,430,8,1,3,3621,144,Sold,44,94,39,15868,5297029,112150
234,330,1,35,1,4362,188,Active,88,31,10,17480,4894689,452525
235,874,7,23,5,3455,99,Active,42,83,36,17501,7076507,108266
236,1066,8,1,3,4666,73,Active,44,91,48,17366,7877587,153754
237,293,8,13,4,3028,115,Sold,35,94,49,17751,4733123,90852
238,425,8,25,1,3946,182,Sold,38,98,57,17586,5275427,129042
239,781,2,21,1,3409,116,Sold,74,57,12,18034,6690369,219635
240,677,6,22,1,4520,136,Active,37,91,38,16215,6300180,135980
241,710,7,27,1,4140,116,Sold,38,81,35,16046,6423492,144900
242,60,2,24,1,4546,82,Sold,72,45,17,15037,3765076,326914
243,166,1,24,5,3511,70,Sold,88,30,7,16495,4191719,462249
244,15,7,18,2,4151,89,Sold,33,81,55,18495,3564356,143492
245,997,7,27,4,3161,46,Sold,33,88,50,15384,7569756,102454
246,660,8,14,5,3014,27,Sold,42,90,40,16410,6238973,101843
247,179,6,36,5,3859,172,Sold,33,83,37,15989,4248424,123002
248,365,1,23,4,4651,119,Sold,96,28,9,15043,5036453,590956
249,294,6,19,2,4026,161,Active,36,81,37,17763,4736273,131175
250,495,4,40,1,4241,146,Sold,69,62,21,15117,5560756,245482
251,344,4,1,2,4761,105,Sold,65,54,23,17933,4959045,382211
252,593,2,16,4,3332,91,Active,77,46,14,16582,5971197,181377
253,960,5,32,5,3208,96,Sold,37,82,49,15895,7416741,113242
254,843,5,29,5,4106,54,Sold,35,85,40,16983,6955895,146494
255,837,6,2,4,3604,82,Active,34,97,42,15633,6937443,121945
256,617,4,36,4,3697,44,Sold,77,66,19,17080,6063456,218936
257,136,8,31,2,3024,63,Active,40,92,58,16906,4071107,90768
258,235,3,17,4,3226,30,Active,51,81,21,18340,4485148,192930
259,827,2,21,5,3033,167,Sold,77,64,17,16763,6891089,176965
260,625,3,38,4,3519,198,Sold,57,74,20,15312,6088208,168980
261,259,1,15,4,3454,66,Sold,97,25,11,17549,4586858,320661
262,808,2,16,5,3983,41,Active,72,51,17,18435,6804230,304472
263,953,4,32,5,3007,148,Active,70,63,21,17036,7387938,217068
264,626,6,31,5,3528,33,Active,42,94,53,17356,6091809,119980
265,890,2,27,5,4450,67,Sold,82,55,15,17345,7143114,321393
266,235,6,14,4,3028,134,Sold,33,91,54,15227,4484248,95412
267,671,7,1,4,4188,148,Active,43,88,50,17899,6276777,131922
268,115,3,33,2,4752,73,Sold,50,88,21,16306,3990999,259239
269,163,5,27,5,3734,172,Active,34,90,54,15905,4181368,133222
270,85,4,27,5,3956,23,Sold,74,61,24,17301,3862286,296055
271,402,2,21,1,3130,131,Active,75,51,16,15890,5194869,199644
272,1,2,17,3,3404,46,Sold,72,62,15,16198,3500900,205874
273,897,5,8,2,4630,99,Active,41,86,51,16040,7166966,144567
274,227,3,14,2,4127,39,Sold,64,80,18,15820,4450495,275195
275,157,6,15,3,4270,176,Active,34,82,50,16626,4158865,131806
276,426,7,3,2,3876,83,Active,43,87,50,15090,5277677,119714
277,854,4,32,2,4737,11,Active,67,65,17,16921,7002700,340410
278,999,4,27,1,4116,159,Active,66,65,15,16909,7577407,345024
279,215,1,23,1,4397,144,Sold,88,21,6,16265,4403690,561266
280,244,6,5,2,4549,120,Sold,41,89,36,18213,4525202,152883
281,1036,2,37,2,4885,189,Active,80,54,18,17511,7737623,326097
282,407,3,38,4,4813,43,Sold,57,75,23,15035,5211521,281972
283,925,5,1,4,4234,192,Sold,41,90,44,15823,7272277,147301
284,835,2,32,3,3080,137,Sold,83,59,15,17755,6927092,177534
285,94,1,38,1,4569,51,Active,92,18,8,17934,3899639,452274
286,311,2,39,5,3843,37,Sold,73,54,16,16701,4813681,231865
287,683,3,30,5,3911,27,Sold,53,70,23,18079,6329432,254747
288,91,7,33,2,3043,137,Sold,36,84,52,15579,3886138,91722
289,146,6,26,2,4358,74,Active,42,94,46,17882,4112061,139404
290,145,1,25,1,3448,23,Active,99,21,8,17977,4108460,261936
291,1081,1,4,4,3010,100,Active,99,28,6,16306,7938343,329776
292,246,5,5,4,4946,86,Sold,41,89,54,16651,4535103,161665
293,767,4,26,3,3812,182,Sold,70,55,16,18208,6637263,293591
294,175,7,6,1,4033,91,Active,39,84,39,16972,4230423,129266
295,1092,2,29,1,3278,118,Sold,84,45,16,15901,7977497,248496
296,943,6,17,5,4572,101,Sold,31,88,40,16414,7349684,148352
297,797,8,30,2,3128,181,Active,42,85,44,17647,6765526,108266
298,293,3,20,1,4698,28,Sold,54,86,23,17349,4734473,252805
299,1056,6,10,2,4999,65,Sold,31,82,47,18024,7835283,161258
300,553,4,22,1,4779,130,Sold,79,52,17,16849,5797479,282260
301,635,8,37,1,3959,56,Active,42,95,57,17392,6130513,128691
302,918,5,22,1,4518,139,Active,36,83,39,15132,7252025,159034
303,256,2,1,3,4855,109,Active,72,64,17,15486,4574707,297464
304,321,1,39,1,3268,23,Sold,98,31,6,16238,4851935,300133
305,1053,3,15,1,4013,142,Active,59,87,25,17624,7819981,251683
306,1032,5,35,2,4516,40,Sold,44,91,47,17106,7713321,142335
307,556,5,16,1,3987,48,Active,34,81,51,18388,5811881,138421
308,134,5,2,4,3604,10,Sold,41,93,47,17422,4061656,117519
309,602,3,15,5,3845,141,Sold,50,86,19,15277,6004050,232644
310,1010,4,33,2,4697,122,Sold,68,62,20,17880,7626462,298508
311,90,5,31,2,4860,29,Active,31,94,47,17678,3882538,157367
312,1015,7,10,3,3904,17,Active,34,85,42,18126,7642664,140232
313,1046,4,8,4,4894,25,Sold,78,51,19,17917,7783528,278792
314,615,4,9,2,3025,122,Active,69,52,15,17150,6054905,196652
315,108,8,30,3,3243,13,Active,33,90,36,18007,3959045,110580
316,166,5,5,5,3483,82,Sold,43,93,56,16402,4193069,108941
317,581,2,12,4,4455,103,Active,74,60,15,15494,5920792,289484
318,414,7,15,2,3408,168,Sold,32,99,58,16186,5237623,121141
319,33,3,25,3,3493,36,Sold,60,84,22,18198,3650765,231421
320,832,7,13,1,3283,35,Sold,31,85,42,17684,6914941,113815
321,11,7,29,1,4961,86,Sold,35,89,39,18163,3551755,171482
322,676,3,11,1,4238,173,Sold,50,75,20,18152,6293879,245180
323,930,7,30,2,4447,140,Sold,35,84,45,18051,7299279,150691
324,625,6,22,5,4613,40,Sold,44,99,39,16400,6089558,142625
325,513,8,7,2,4964,58,Active,41,97,39,15700,5633213,150767
326,83,4,31,1,4218,116,Sold,79,69,18,18387,3856885,320106
327,15,3,26,3,3893,63,Sold,61,77,26,18239,3569306,264612
328,323,7,36,5,4524,127,Sold,43,92,35,16948,4861386,159109
329,905,7,7,1,3679,80,Sold,34,92,51,17498,7198019,115881
330,155,4,20,4,3463,162,Active,70,63,16,15518,4149864,233501
331,616,3,31,2,3724,58,Sold,52,81,26,17346,6060756,255520
332,536,7,23,2,4952,94,Sold,37,99,35,16025,5735823,162812
333,892,2,29,4,4992,126,Sold,78,60,19,16681,7148514,340508
334,866,3,7,2,4700,115,Active,50,80,24,17010,7040954,311900
335,827,8,19,4,3678,19,Sold,37,98,59,15005,6890189,129878
336,555,4,8,4,3860,174,Sold,79,69,22,17261,5802880,227238
337,1072,3,32,5,3343,179,Sold,53,84,20,18031,7901440,221472
338,855,4,36,3,4616,15,Active,75,67,23,16194,7005400,261081
339,898,8,9,2,3625,198,Sold,36,83,43,15470,7170567,123163
340,687,1,33,2,3117,77,Active,90,25,8,16255,6345184,342465
341,382,2,25,3,4937,55,Sold,76,48,12,15389,5102160,367265
342,292,1,28,3,3970,32,Sold,99,27,10,15357,4722772,437812
343,151,8,30,1,4709,154,Sold,31,87,54,17401,4130963,144190
344,629,6,31,1,4292,32,Sold,31,80,45,18070,6105760,146743
345,602,6,35,5,4422,149,Sold,37,91,42,18063,6006300,154478
346,794,8,17,2,4918,120,Sold,34,98,41,17859,6752025,158694
347,543,8,22,1,4719,121,Active,41,92,42,17729,5756075,150574
348,589,5,30,3,4392,138,Active,39,91,59,15948,5954095,150075
349,762,4,33,2,3002,139,Sold,78,63,17,18216,6619261,162554
350,249,8,25,4,3690,98,Sold,39,94,47,17658,4544554,118892
351,444,1,6,5,3222,175,Active,97,26,6,16711,5354635,380647
352,601,6,18,3,4488,14,Active,34,87,42,17508,6002700,146390
353,156,7,34,1,3916,49,Sold,38,81,40,16873,4150765,129471
354,819,6,22,4,3514,118,Sold,34,86,39,18385,6850585,108906
355,403,3,11,2,3438,71,Sold,54,73,27,18146,5198469,185784
356,486,5,21,2,4126,121,Sold,34,92,39,16189,5526102,140474
357,530,8,32,5,3221,58,Sold,35,84,50,16420,5710171,99452
358,53,5,7,4,3068,192,Sold,41,90,39,16785,3734923,106662
359,844,5,33,2,3315,168,Active,39,90,48,17088,6960396,112233
360,614,6,37,5,3143,120,Sold,43,83,53,17631,6051755,98659
361,767,5,22,5,3077,76,Active,32,90,41,16797,6639063,103824
362,224,5,8,3,4338,52,Sold,40,94,54,16323,4438343,142217
363,516,7,12,1,4769,145,Active,42,96,59,15746,5648514,147353
364,927,2,21,4,4442,43,Active,82,60,18,15343,7284428,299871
365,1087,1,8,1,4226,155,Sold,95,27,7,15212,7959495,391782
366,1025,1,8,2,3329,197,Sold,95,20,7,16976,7683168,257898
367,491,4,17,1,3285,170,Sold,76,55,23,17977,5543204,247346
368,121,2,9,1,4365,188,Sold,84,45,16,15122,4017101,320950
369,80,8,9,4,3881,194,Active,37,81,51,17774,3842934,117618
370,101,2,2,2,4722,111,Sold,81,61,18,18498,3924392,314727
371,45,4,27,1,3929,77,Active,72,57,23,15150,3698469,240197
372,568,5,16,1,3952,35,Sold,30,90,51,17399,5861836,129744
373,481,4,35,1,3759,77,Active,70,61,15,15555,5509450,301073
374,332,6,35,2,3714,8,Active,37,83,52,18166,4904140,117489
375,236,6,17,3,4401,73,Sold,35,95,47,15602,4489198,149396
376,353,6,36,4,3258,127,Sold,43,85,38,15632,4994149,108465
377,744,1,11,1,3272,22,Sold,88,23,5,17272,6549954,380795
378,391,8,19,5,4063,115,Sold,34,87,58,17363,5144014,127164
379,388,6,9,2,4778,154,Active,37,97,55,16340,5134113,144850
380,935,6,36,2,4071,14,Sold,33,82,36,17520,7319981,138626
381,568,8,28,4,4296,120,Sold,44,92,57,16396,5862286,150893
382,991,7,31,5,4950,120,Active,39,96,58,16001,7545904,173339
383,617,6,5,3,3509,134,Active,34,93,44,18017,6064356,122541
384,795,6,11,5,3269,119,Sold,41,82,44,17854,6756525,108145
385,1080,5,4,2,4644,175,Sold,44,92,57,16859,7931143,151859
386,823,1,27,3,3740,76,Active,94,20,8,17122,6867686,417234
387,500,5,17,3,3194,62,Active,42,97,36,16292,5590459,96848
388,795,6,2,5,4648,8,Sold,40,84,36,15433,6758775,149322
389,237,3,10,4,3052,182,Sold,63,89,22,15128,4491899,207692
390,1062,5,2,4,3972,87,Sold,37,81,46,15029,7865436,135874
391,813,1,21,4,3566,82,Sold,99,23,9,16418,6826732,389434
392,690,3,38,2,3410,31,Sold,54,83,18,16315,6355085,216440
393,302,3,14,5,4762,80,Sold,62,85,23,18436,4770477,325843
394,850,6,37,2,4808,23,Active,32,94,50,15742,6987398,158770
395,495,7,5,4,4716,165,Sold,42,95,36,17995,5565256,153298
396,786,8,13,1,4531,173,Sold,37,85,56,16646,6720972,151199
